Gene symbol,Description,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
Cdhr3,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdhr4,,0.1,0.2,0.1,0.1,0.1,0.5,1.6
Cdhr5,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdipt,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase),13.1,26.5,33.1,35.5,26.2,22.9,6.6
Cdk1,,2.7,1.0,6.1,0.5,0.1,2.3,18.2
Cdk10,Cyclin-dependent kinase 10,10.8,11.4,9.4,6.1,5.1,15.6,5.4
Cdk11b,,51.0,16.3,14.4,13.4,8.9,9.0,26.9
Cdk12,,6.6,4.7,3.8,3.3,0.8,2.1,5.2
Cdk13,,6.1,7.7,5.3,4.2,1.4,2.6,7.5
Cdk14,,4.7,25.4,16.6,18.3,2.8,1.5,3.6
Cdk15,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdk16,,28.9,44.4,39.0,41.7,53.4,22.4,20.8
Cdk17,,24.7,10.9,14.5,10.1,7.2,3.6,26.4
Cdk18,,0.1,0.7,0.3,40.3,32.8,3.7,0.1
Cdk19,,7.6,7.0,7.2,21.9,15.5,9.6,12.5
Cdk2,Cyclin-dependent kinase 2,13.5,1.7,14.0,6.6,0.6,10.2,22.6
Cdk20,,7.5,6.1,5.1,3.2,1.9,2.9,2.6
Cdk2ap1,CDK2-associated protein 1,50.1,33.3,99.4,90.1,55.6,81.0,52.0
Cdk2ap2,CDK2-associated protein 2,11.3,13.8,28.8,19.9,13.9,47.0,13.4
Cdk3-ps,,1.4,1.0,0.8,0.7,0.2,0.4,0.1
Cdk4,Cyclin-dependent kinase 4,30.7,36.6,108.3,103.8,32.6,58.5,87.0
Cdk5,Cyclin-dependent kinase 5,21.1,30.1,21.8,43.6,52.8,10.9,11.5
Cdk5r1,"Cyclin-dependent kinase 5, regulatory subunit 1 (p35)",1.6,81.1,21.6,8.3,3.3,23.8,1.0
Cdk5r2,"Cyclin-dependent kinase 5, regulatory subunit 2 (p39)",0.5,49.8,22.0,4.3,15.3,19.0,0.7
Cdk5rap1,CDK5 regulatory subunit associated protein 1,3.0,1.9,2.1,1.6,1.2,1.8,2.0
Cdk5rap2,CDK5 regulatory subunit associated protein 2,11.3,1.3,5.7,2.4,1.5,1.4,1.8
Cdk5rap3,CDK5 regulatory subunit associated protein 3,13.1,11.2,17.2,14.8,15.3,42.7,11.9
Cdk6,Cyclin-dependent kinase 6,0.6,0.4,2.3,0.3,0.1,5.4,1.0
Cdk7,Cyclin-dependent kinase 7,3.7,2.9,2.5,2.2,1.1,1.2,2.8
Cdk8,Cyclin-dependent kinase 8,9.4,7.7,3.6,2.4,0.7,1.6,3.8
Cdk9,Cyclin-dependent kinase 9,13.6,13.3,7.5,7.1,4.4,26.6,15.7
Cdkal1,CDK5 regulatory subunit associated protein 1-like 1,6.1,2.8,6.6,3.5,2.2,3.5,7.6
Cdkl1,Cyclin-dependent kinase-like 1 (CDC2-related kinase),0.3,1.8,0.1,0.1,0.1,0.1,0.9
Cdkl2,Cyclin-dependent kinase-like 2 (CDC2-related kinase),0.2,10.1,0.5,1.4,1.2,0.2,0.4
Cdkl3,Cyclin-dependent kinase-like 3,2.9,4.0,2.1,1.4,1.1,0.6,0.8
Cdkl4,Cyclin-dependent kinase-like 4,0.4,0.8,0.2,0.1,0.1,0.1,0.2
Cdkl5,Cyclin-dependent kinase-like 5,0.6,3.8,3.1,1.2,0.7,0.1,1.1
Cdkn1a,"Cyclin-dependent kinase inhibitor 1A (p21, Cip1)",5.0,18.3,5.6,1.6,2.6,109.8,146.3
Cdkn1b,"Cyclin-dependent kinase inhibitor 1B (p27, Kip1)",34.8,38.1,26.6,13.3,8.0,7.6,49.8
Cdkn1c,"Cyclin-dependent kinase inhibitor 1C (p57, Kip2)",0.5,10.2,6.5,14.1,19.8,4.1,41.6
Cdkn2a,"Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",0.1,0.1,0.4,0.1,0.1,0.4,1.1
Cdkn2aip,CDKN2A interacting protein,7.7,6.0,5.7,3.6,1.7,1.0,11.3
Cdkn2aipnl,CDKN2A interacting protein N-terminal like,3.2,11.5,14.5,9.3,10.6,28.4,30.1
Cdkn2b,"Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",1.2,0.2,0.6,0.1,0.2,0.9,41.9
Cdkn2c,"Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",6.8,1.3,11.3,3.8,3.6,3.5,3.4
Cdkn2d,"Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",9.0,21.6,16.0,13.8,18.5,7.7,13.2
Cdkn3,Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase),0.6,0.1,1.0,0.2,0.1,0.7,3.1
Cdnf,,0.1,0.3,0.1,0.1,0.1,0.1,0.1
Cdo1,"Cysteine dioxygenase, type I",30.5,13.2,193.2,25.7,1.1,0.5,3.8
Cdon,Cdon homolog (mouse),2.3,7.3,2.5,1.6,1.5,0.2,0.5
Cdr1,"Cerebellar degeneration-related protein 1, 34kDa",0.1,5.0,0.8,0.4,0.1,0.1,0.1
Cdr2,"Cerebellar degeneration-related protein 2, 62kDa",3.3,1.9,3.8,12.5,32.4,1.6,18.9
Cdr2l,Cerebellar degeneration-related protein 2-like,3.0,10.0,16.5,17.3,15.5,0.5,3.5
Cdrt4,CMT1A duplicated region transcript 4,0.2,0.1,0.3,0.1,0.1,0.1,0.1
Cds1,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,0.5,7.6,1.8,0.7,2.1,19.7,0.1
Cds2,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,31.3,51.5,25.0,20.0,19.1,17.0,13.2
Cdsn,Corneodesmosin,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdt1,Chromatin licensing and DNA replication factor 1,2.4,1.8,6.2,1.4,0.4,19.4,2.2
Cdv3,CDV3 homolog (mouse),11.5,12.2,19.2,69.3,15.1,9.8,23.9
Cdx1,Caudal type homeobox 1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdx2,Caudal type homeobox 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdx4,Caudal type homeobox 4,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdyl,"Chromodomain protein, Y-like",2.9,2.4,2.6,7.5,1.8,2.3,6.0
Cdyl2,"Chromodomain protein, Y-like 2",1.9,2.1,2.2,1.2,0.5,0.9,3.3
Ceacam-ps1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam1,Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein),0.1,0.1,0.4,0.4,0.2,3.1,7.4
Ceacam10,,0.1,0.1,0.1,0.1,0.1,0.4,0.1
Ceacam11,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam12,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam13,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam14,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam15,,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam16,Carcinoembryonic antigen-related cell adhesion molecule 16,0.1,0.8,0.1,0.1,0.1,0.1,0.1
Ceacam18,Carcinoembryonic antigen-related cell adhesion molecule 18,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam19,Carcinoembryonic antigen-related cell adhesion molecule 19,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam2,,0.1,0.1,0.3,0.2,0.1,1.2,0.2
Ceacam20,Carcinoembryonic antigen-related cell adhesion molecule 20,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam3,Carcinoembryonic antigen-related cell adhesion molecule 3,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam5,Carcinoembryonic antigen-related cell adhesion molecule 5,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ceacam9,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha",2.5,20.0,15.1,1.6,0.9,355.1,1.0
Cebpb,"CCAAT/enhancer binding protein (C/EBP), beta",23.0,4.6,8.6,0.9,1.1,305.0,9.0
Cebpd,"CCAAT/enhancer binding protein (C/EBP), delta",16.9,1.8,4.7,0.5,0.4,17.9,35.0
Cebpe,"CCAAT/enhancer binding protein (C/EBP), epsilon",0.1,0.1,0.1,0.1,0.1,0.1,0.2
Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma",6.7,16.7,6.5,4.2,3.5,7.7,8.7
Cebpz,CCAAT/enhancer binding protein zeta,8.5,6.2,10.5,7.3,2.3,4.9,11.3
Cecr2,"Cat eye syndrome chromosome region, candidate 2",5.7,1.3,1.8,1.1,0.3,0.3,0.5
Cecr5,"Cat eye syndrome chromosome region, candidate 5",37.9,5.5,12.1,7.3,5.3,5.0,4.7
Cecr6,"Cat eye syndrome chromosome region, candidate 6",1.6,3.0,2.8,0.5,0.6,0.7,0.1
Cel,Carboxyl ester lipase (bile salt-stimulated lipase),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cela1,,0.1,0.1,2.3,3.9,5.9,1.8,0.1
Cela2a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cela3b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Celf1,,18.6,22.3,22.1,13.7,4.5,7.1,14.5
Celf2,,34.4,26.6,20.3,4.2,1.3,9.2,1.7
Celf3,,0.4,31.9,12.1,2.1,1.6,2.1,0.2
Celf4,,1.1,121.2,5.5,1.2,2.4,2.1,0.6
Celf5,,0.7,41.2,6.1,1.3,1.5,1.7,0.2
Celf6,,0.1,34.5,0.5,0.1,0.3,0.2,0.1
Celsr1,"Cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)",5.3,0.5,0.1,0.1,0.1,0.1,0.1
Celsr2,"Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)",10.3,19.3,9.8,4.1,3.4,0.4,0.2
Celsr3,"Cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)",0.3,20.7,1.9,0.7,0.3,0.2,0.1
Cend1,Cell cycle exit and neuronal differentiation 1,5.0,63.1,19.7,22.1,27.7,5.0,1.1
Cenpa,Centromere protein A,3.5,2.4,11.1,2.1,0.9,9.4,13.7
Cenpb,"Centromere protein B, 80kDa",26.4,32.1,27.2,48.3,168.0,45.9,53.8
Cenpc1,Centromere protein C 1,7.1,4.8,6.8,2.5,0.9,0.3,2.8
Cenpe,"Centromere protein E, 312kDa",1.2,0.2,1.4,0.2,0.1,0.1,0.9
Cenpf,"Centromere protein F, 350/400ka (mitosin)",1.4,2.3,1.9,0.2,0.1,0.2,0.6
Cenph,Centromere protein H,1.8,0.8,3.0,0.5,0.1,0.2,1.4
Cenpi,Centromere protein I,1.9,0.4,3.0,0.9,0.2,0.2,1.4
Cenpj,Centromere protein J,1.3,0.4,1.0,0.5,0.2,0.1,1.0
Cenpk,Centromere protein K,1.0,0.7,2.0,0.3,0.2,0.1,0.9
Cenpl,Centromere protein L,3.4,1.6,2.9,1.0,0.4,0.6,5.6
Cenpm,Centromere protein M,1.6,1.1,5.7,0.5,0.3,0.3,3.0
Cenpn,Centromere protein N,1.7,0.8,5.0,1.3,1.1,0.8,2.8
Cenpo,Centromere protein O,1.6,1.0,1.8,1.0,0.7,1.8,1.0
Cenpp,,1.1,0.9,2.7,0.6,0.5,0.3,2.5
Cenpq,Centromere protein Q,9.3,1.6,8.0,5.6,1.6,0.5,4.0
Cenpt,Centromere protein T,8.4,8.0,10.3,5.4,2.7,3.7,6.6
Cenpv,,7.2,12.2,26.5,7.7,2.5,5.7,1.9
Cenpw,,0.7,1.0,1.7,0.5,0.4,0.1,1.2
Cep110,Centrosomal protein 110kDa,7.0,1.5,3.8,2.0,0.6,1.1,1.6
Cep120,,6.3,9.7,5.6,9.5,7.1,2.9,9.2
Cep135,Centrosomal protein 135kDa,3.3,2.1,2.3,0.7,0.2,0.6,2.7
Cep152,Centrosomal protein 152kDa,2.5,0.4,1.8,0.8,0.1,2.9,0.7
Cep164,Centrosomal protein 164kDa,3.9,2.1,2.0,1.3,0.7,1.7,1.2
Cep170,Centrosomal protein 170kDa,9.0,22.3,11.9,10.3,3.7,3.3,7.9
Cep192,Centrosomal protein 192kDa,4.9,1.5,3.2,1.5,0.2,0.7,2.6
Cep250,Centrosomal protein 250kDa,6.3,4.1,3.0,2.3,1.5,2.0,1.1
Cep290,Centrosomal protein 290kDa,1.5,1.0,0.7,0.3,0.1,0.1,0.9
Cep350,Centrosomal protein 350kDa,6.7,2.7,4.3,3.4,0.8,1.0,2.8
Cep55,Centrosomal protein 55kDa,1.1,0.2,2.3,0.2,0.1,0.2,3.2
Cep57,Centrosomal protein 57kDa,12.3,6.0,9.4,4.3,1.1,1.3,10.2
Cep57l1,,2.2,1.3,2.4,1.2,0.7,0.6,2.6
Cep63,Centrosomal protein 63kDa,8.7,3.7,5.0,3.3,2.3,4.6,3.4
Cep68,Centrosomal protein 68kDa,7.9,4.1,10.6,6.7,2.8,7.3,13.2
Cep70,Centrosomal protein 70kDa,3.4,2.9,2.8,1.0,0.2,0.6,3.4
Cep72,Centrosomal protein 72kDa,1.1,0.8,1.7,1.4,1.8,0.4,1.2
Cep76,Centrosomal protein 76kDa,4.3,1.9,3.6,3.1,1.1,0.5,2.7
Cep78,Centrosomal protein 78kDa,5.9,3.1,5.3,3.4,1.4,0.7,4.3
Cep97,,4.2,2.5,3.6,3.8,2.3,0.3,2.5
Cept1,Choline/ethanolamine phosphotransferase 1,15.6,7.0,12.6,9.5,8.9,10.6,14.0
Cer1,"Cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cercam,Cerebral endothelial cell adhesion molecule,3.3,3.3,7.2,7.8,6.6,1.6,0.2
Cerk,Ceramide kinase,7.0,13.8,15.7,22.3,5.5,77.6,15.6
Cerkl,,0.2,0.1,0.1,0.1,0.1,0.1,0.2
Ces1a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces1b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces1c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces1d,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces1e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces1f,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces1g,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces2a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces2b,,0.1,0.1,0.1,0.1,0.1,0.1,7.6
Ces2c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces2d-ps,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces2e,,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Ces2f,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces2g,,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Ces3a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces3b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces4a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ces5a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cetn1,"Centrin, EF-hand protein, 1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cetn2,"Centrin, EF-hand protein, 2",10.7,15.8,13.0,13.0,9.7,6.8,25.8
Cetn3,"Centrin, EF-hand protein, 3 (CDC31 homolog, yeast)",32.1,48.5,40.2,29.8,21.8,10.7,57.2
Cetn4,,0.2,0.6,1.6,0.2,0.2,0.1,0.3
Cfb,Complement factor B,0.5,0.3,0.1,0.1,0.1,0.4,0.3
Cfc1,"Cripto, FRL-1, cryptic family 1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cfd,Complement factor D (adipsin),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cfdp1,Craniofacial development protein 1,16.0,25.9,32.0,21.9,15.0,10.5,40.2
Cfh,Complement factor H,0.1,0.3,11.5,0.6,0.6,29.9,7.6
Cfhr1,Complement factor H-related 1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cfhr2,Complement factor H-related 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cfi,Complement factor I,0.1,0.1,0.1,0.1,0.1,0.1,0.8
Cfl1,Cofilin 1 (non-muscle),145.2,286.5,346.5,403.6,477.9,475.6,409.2
Cfl2,Cofilin 2 (muscle),20.5,56.9,34.3,57.0,65.4,2.7,24.7
Cflar,CASP8 and FADD-like apoptosis regulator,3.2,0.7,2.1,0.7,0.6,8.1,5.3
Cfp,Complement factor properdin,5.5,3.6,3.2,2.6,0.5,17.7,0.6
Cftr,"Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",0.1,0.2,0.1,0.1,0.1,0.1,0.1
Cga,"Glycoprotein hormones, alpha polypeptide",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cggbp1,CGG triplet repeat binding protein 1,16.0,17.6,20.4,17.4,8.6,7.3,39.1
Cgn,Cingulin,0.4,2.4,0.5,0.2,0.1,0.1,0.1
Cgnl1,Cingulin-like 1,0.6,0.2,0.6,0.1,0.1,0.1,32.7
Cgref1,Cell growth regulator with EF-hand domain 1,6.6,12.5,3.5,0.9,1.1,1.1,0.4
Cgrrf1,Cell growth regulator with ring finger domain 1,12.2,3.9,14.5,8.8,3.7,12.1,23.8
Ch25h,Cholesterol 25-hydroxylase,0.3,0.7,1.2,0.1,0.1,48.4,0.6
Chac1,"ChaC, cation transport regulator homolog 1 (E. coli)",2.2,11.0,0.4,3.7,1.6,1.3,2.3
Chac2,"ChaC, cation transport regulator homolog 2 (E. coli)",4.5,6.1,3.6,4.8,5.0,0.3,3.6
Chad,Chondroadherin,0.5,0.1,0.1,0.1,0.1,0.5,0.4
Chadl,Chondroadherin-like,14.3,5.4,103.7,107.6,26.4,1.0,0.2
Chaf1a,"Chromatin assembly factor 1, subunit A (p150)",1.8,2.4,4.2,0.9,0.6,0.5,1.9
Chaf1b,"Chromatin assembly factor 1, subunit B (p60)",1.5,1.3,3.9,0.5,0.1,0.7,3.3
Chat,Choline acetyltransferase,0.1,2.1,0.1,0.1,0.1,0.1,0.1
Chchd1,Coiled-coil-helix-coiled-coil-helix domain containing 1,14.4,21.8,24.6,24.0,24.4,16.6,33.3
Chchd10,,20.2,36.9,11.6,3.0,8.8,7.6,1.9
Chchd2,Coiled-coil-helix-coiled-coil-helix domain containing 2,22.5,56.6,43.8,48.8,57.2,42.3,114.7
Chchd3,Coiled-coil-helix-coiled-coil-helix domain containing 3,28.8,13.9,32.8,40.8,32.5,15.7,46.0
Chchd4,Coiled-coil-helix-coiled-coil-helix domain containing 4,3.3,10.6,9.0,6.8,5.5,6.4,3.5
Chchd5,Coiled-coil-helix-coiled-coil-helix domain containing 5,3.4,4.6,6.2,5.4,5.8,6.0,9.8
Chchd6,Coiled-coil-helix-coiled-coil-helix domain containing 6,3.9,22.6,21.3,7.8,7.1,5.5,9.1
Chchd7,Coiled-coil-helix-coiled-coil-helix domain containing 7,8.5,11.1,3.0,8.7,19.1,9.6,19.4
Chchd8,Coiled-coil-helix-coiled-coil-helix domain containing 8,1.1,0.9,1.9,2.0,2.5,5.1,2.8
Chd1,Chromodomain helicase DNA binding protein 1,9.4,4.4,5.5,3.5,0.7,2.9,10.0
Chd1l,Chromodomain helicase DNA binding protein 1-like,4.1,0.7,2.9,3.0,2.1,2.8,5.5
Chd2,Chromodomain helicase DNA binding protein 2,17.4,9.5,5.8,4.3,0.9,5.6,7.0
Chd3,Chromodomain helicase DNA binding protein 3,15.8,62.9,18.4,32.2,9.2,9.5,15.3
Chd4,Chromodomain helicase DNA binding protein 4,49.0,26.2,27.3,27.2,15.3,37.2,26.8
Chd5,Chromodomain helicase DNA binding protein 5,0.3,20.9,5.6,1.3,0.9,1.1,0.1
Chd6,Chromodomain helicase DNA binding protein 6,13.1,6.6,7.3,4.9,1.2,1.5,5.2
Chd7,Chromodomain helicase DNA binding protein 7,8.6,5.6,8.8,6.0,1.3,3.3,2.5
Chd8,Chromodomain helicase DNA binding protein 8,12.8,8.2,9.4,7.6,3.0,4.7,7.2
Chd9,Chromodomain helicase DNA binding protein 9,13.1,3.7,5.8,3.1,0.6,2.7,1.5
Chdh,Choline dehydrogenase,0.1,0.1,0.1,0.3,0.7,0.1,0.1
Chek1,CHK1 checkpoint homolog (S. pombe),1.8,0.8,2.3,0.3,0.1,0.1,0.9
Chek2,CHK2 checkpoint homolog (S. pombe),1.9,1.0,1.3,0.3,0.3,1.2,4.3
Cherp,Calcium homeostasis endoplasmic reticulum protein,10.9,12.4,10.1,8.5,3.4,11.1,6.0
Chfr,Checkpoint with forkhead and ring finger domains,9.3,11.6,12.1,22.8,16.2,4.7,11.0
Chga,Chromogranin A (parathyroid secretory protein 1),0.3,33.4,41.0,8.5,1.7,1.0,0.3
Chgb,Chromogranin B (secretogranin 1),3.7,61.2,11.4,2.8,1.6,0.6,0.4
Chi3l1,Chitinase 3-like 1 (cartilage glycoprotein-39),11.3,0.4,8.9,2.6,1.2,1.7,0.2
Chi3l3,,0.1,0.1,0.2,0.1,0.1,0.9,0.1
Chi3l4,,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Chia,"Chitinase, acidic",0.3,0.2,0.1,0.1,0.1,0.1,0.1
Chic1,Cysteine-rich hydrophobic domain 1,7.0,5.0,2.5,1.3,0.3,0.1,0.3
Chic2,Cysteine-rich hydrophobic domain 2,14.1,12.2,19.8,9.9,2.8,20.2,56.8
Chid1,Chitinase domain containing 1,5.9,6.4,10.5,8.6,4.8,7.2,4.7
Chit1,Chitinase 1 (chitotriosidase),0.1,0.2,0.1,0.1,0.1,0.1,0.1
Chka,Choline kinase alpha,31.6,22.5,19.8,20.5,10.9,21.8,20.8
Chkb,,27.8,25.7,17.5,14.7,7.4,24.3,11.6
Chl1,Cell adhesion molecule with homology to L1CAM (close homolog of L1),19.8,50.6,38.2,5.8,0.3,0.1,0.2
Chm,Choroideremia (Rab escort protein 1),7.0,6.3,7.3,4.6,2.0,1.0,10.5
Chml,Choroideremia-like (Rab escort protein 2),3.2,5.5,2.2,1.4,0.1,0.3,2.6
Chmp1a,Chromatin modifying protein 1A,15.7,33.8,30.6,36.0,36.4,48.5,28.3
Chmp1b,Chromatin modifying protein 1B,11.6,8.6,10.1,19.2,17.4,6.5,21.2
Chmp2a,Chromatin modifying protein 2A,23.8,34.2,45.4,51.8,56.7,38.0,74.2
Chmp2b,Chromatin modifying protein 2B,11.7,22.0,24.4,15.1,10.8,11.2,46.6
Chmp4b,Chromatin modifying protein 4B,56.6,54.9,57.7,71.4,83.5,104.0,53.6
Chmp4c,Chromatin modifying protein 4C,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chmp5,Chromatin modifying protein 5,26.0,29.7,41.0,74.7,92.9,17.7,73.1
Chmp6,Chromatin modifying protein 6,8.1,10.8,17.1,9.7,6.2,31.1,30.9
Chmp7,"CHMP family, member 7",14.6,32.1,26.2,18.5,14.3,11.5,20.4
Chn1,Chimerin (chimaerin) 1,12.1,12.3,17.4,6.9,10.0,3.7,1.9
Chn2,Chimerin (chimaerin) 2,0.5,6.2,10.9,118.6,49.7,15.6,19.5
Chodl,Chondrolectin,0.1,6.4,0.3,0.1,0.1,0.1,0.1
Chordc1,Cysteine and histidine-rich domain (CHORD)-containing 1,15.2,11.2,11.4,12.6,7.5,3.3,11.1
Chpf,Chondroitin polymerizing factor,17.3,26.7,24.0,9.5,4.5,2.4,1.2
Chpf2,,8.5,6.8,7.2,4.6,2.0,17.0,11.5
Chpt1,Choline phosphotransferase 1,23.2,9.2,53.0,25.3,6.9,4.0,6.1
Chrac1,Chromatin accessibility complex 1,4.3,6.5,9.0,6.1,5.9,18.9,24.5
Chrd,Chordin,3.6,6.9,5.6,1.3,0.2,0.7,0.2
Chrdl1,Chordin-like 1,48.5,2.0,4.6,0.6,0.5,0.2,0.1
Chrdl2,Chordin-like 2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Chrm1,"Cholinergic receptor, muscarinic 1",0.1,0.9,2.1,0.3,0.6,0.6,0.2
Chrm2,"Cholinergic receptor, muscarinic 2",0.2,1.7,1.7,0.4,0.1,0.1,0.1
Chrm3,"Cholinergic receptor, muscarinic 3",0.1,3.7,0.3,0.1,0.1,0.1,0.1
Chrm4,"Cholinergic receptor, muscarinic 4",0.7,3.6,0.8,0.5,0.4,0.5,0.3
Chrm5,"Cholinergic receptor, muscarinic 5",0.1,0.7,0.1,0.1,0.1,0.1,0.1
Chrna1,"Cholinergic receptor, nicotinic, alpha 1 (muscle)",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chrna10,"Cholinergic receptor, nicotinic, alpha 10",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chrna2,"Cholinergic receptor, nicotinic, alpha 2 (neuronal)",0.1,0.1,0.1,0.1,0.1,0.2,0.1
Chrna3,"Cholinergic receptor, nicotinic, alpha 3",0.3,1.1,0.1,0.1,0.1,0.1,0.1
Chrna4,"Cholinergic receptor, nicotinic, alpha 4",0.4,4.4,37.7,6.9,0.3,0.1,0.1
Chrna5,"Cholinergic receptor, nicotinic, alpha 5",0.1,0.2,0.2,0.1,0.1,0.1,0.1
Chrna6,"Cholinergic receptor, nicotinic, alpha 6",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chrna7,"Cholinergic receptor, nicotinic, alpha 7",0.5,4.0,2.2,0.8,0.1,0.1,0.1
Chrna9,"Cholinergic receptor, nicotinic, alpha 9",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chrnb1,"Cholinergic receptor, nicotinic, beta 1 (muscle)",0.4,0.5,0.2,0.1,0.1,0.1,9.5
Chrnb2,"Cholinergic receptor, nicotinic, beta 2 (neuronal)",1.2,13.6,1.9,0.6,0.8,0.3,0.1
Chrnb3,"Cholinergic receptor, nicotinic, beta 3",0.1,0.2,0.1,0.1,0.1,0.1,0.1
Chrnb4,"Cholinergic receptor, nicotinic, beta 4",0.2,0.4,0.1,0.1,0.1,0.1,0.1
Chrnd,"Cholinergic receptor, nicotinic, delta",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chrne,"Cholinergic receptor, nicotinic, epsilon",0.1,0.1,0.1,1.5,0.7,0.1,0.1
Chrng,"Cholinergic receptor, nicotinic, gamma",0.1,0.1,0.1,0.3,0.1,0.1,0.1
Chst1,Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1,55.7,10.1,6.2,0.6,2.2,3.6,15.4
Chst10,Carbohydrate sulfotransferase 10,26.3,12.9,16.2,4.5,1.6,10.7,0.2
Chst11,Carbohydrate (chondroitin 4) sulfotransferase 11,26.0,5.0,85.3,18.0,0.8,7.3,18.1
Chst12,Carbohydrate (chondroitin 4) sulfotransferase 12,8.8,5.9,10.2,2.8,3.7,67.1,0.8
Chst13,Carbohydrate (chondroitin 4) sulfotransferase 13,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chst14,Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14,2.0,0.7,2.4,1.4,1.1,3.7,3.3
Chst15,,2.9,1.3,7.6,1.5,0.1,3.5,8.9
Chst2,Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2,52.5,25.4,40.0,31.1,26.4,1.7,9.4
