,MouseGene Symbol,Mouse.7Description,X.8Myeloid Activation (Fine),X.9Myeloid Activation (Coarse),X.10Immune-Specific,adjP-PS2APP,lfc-PS2APP,adjP-7-13months-1,lfc-7-13months-1,adjP-7-13months-2,lfc-7-13months-2,adjP-WT-5xFAD,lfc-WT-5xFAD,adjP-Trem2KO-5xFAD,lfc-Trem2KO-5xFAD,adjP-Trem2KOvWT,lfc-Trem2KOvWT,adjP-Trem2KOvWT-5xFAD,lfc-Trem2KOvWT-5xFAD,adjP-APPswe/PS1dE9,lfc-APPswe/PS1dE9,adjP-hMAPT-P301L,lfc-hMAPT-P301L,adjP-X6.2hMAPT-P301S,lfc-X6.2hMAPT-P301S,adjP-hSOD1-G93A-d65,lfc-hSOD1-G93A-d65,adjP-hSOD1-G93A-d100,lfc-hSOD1-G93A-d100,adjP-2MFP2ko,lfc-2MFP2ko,adjP-transischemia,lfc-transischemia,adjP-4wkcuprizoneWT,lfc-4wkcuprizoneWT,adjP-12wkcuprizoneWT,lfc-12wkcuprizoneWT,adjP-4wkcuprizoneTrem2KO,lfc-4wkcuprizoneTrem2KO,adjP-12wkcuprizoneTrem2KO,lfc-12wkcuprizoneTrem2KO,adjP-LPS,lfc-LPS,adjP-LPSmogene,lfc-LPSmogene,adjP-LCMV,lfc-LCMV,adjP-GBM,lfc-GBM,adjP-GBM-CSF1Rblock,lfc-GBM-CSF1Rblock,adjP-repop-MG,lfc-repop-MG,adjP-infiltrating-MG,lfc-infiltrating-MG,adjP-22Mvs4-12M-Cb,lfc-22Mvs4-12M-Cb,adjP-22Mvs4-12M-Ctx,lfc-22Mvs4-12M-Ctx,adjP-22Mvs4-12M-Hp,lfc-22Mvs4-12M-Hp,adjP-22Mvs4-12M-Str,lfc-22Mvs4-12M-Str,adjP-PS2APP-13months,lfc-PS2APP-13months,adjP- SOD1G93A-D28,lfc- SOD1G93A-D28,adjP- SOD1G93A-D42,lfc- SOD1G93A-D42,adjP- SOD1G93A-D56,lfc- SOD1G93A-D56,adjP- SOD1G93A-D70,lfc- SOD1G93A-D70,adjP- SOD1G93A-D98,lfc- SOD1G93A-D98,adjP- SOD1G93A-D112,lfc- SOD1G93A-D112,adjP- SOD1G93A-D126,lfc- SOD1G93A-D126,adjP-AD-fusiform,lfc-AD-fusiform,adjP-AD-temp,lfc-AD-temp,adjP-ALS,lfc-ALS,adjP-ALS-MN,lfc-ALS-MN,adjP-FTDprogranulin,lfc-FTDprogranulin,adjP-HD,lfc-HD
215,Il1a,interleukin 1 alpha,34,,,0.208,-0.9477,0.9992,-0.06561,0.6183,-0.2386,0.8521,0.214,0.9408,-0.0953,0.9991,0.157,0.8424,-0.1523,0.0003077,0.9317,0.7222,0.3299,0.1131,-0.7963,0.249,-0.5336,0.2629,0.4092,0.9334,-0.09282,0.9867,0.02295,0.9993,0.03166,0.6419,0.6138,0.9992,0.007923,0.6427,0.6041,0.3104,0.5803,0.03114,2.826,0.04803,1.263,0.03652,-0.5505,0.5454,0.2059,0.09505,1.064,0.00004289,-1.167,0.9185,0.1082,0.4908,0.4311,0.8496,0.1535,0.945,0.07053,0.2715,0.4601,0.7999,0.07574,0.7187,0.09636,0.5439,0.316,0.531,0.399,0.6869,0.09102,0.7552,0.04645,0.7101,0.0649,0.9547,-0.01493,0.4909,-0.06877,0.9797,-0.1357,0.9591,-0.08108,0.3031,0.1798,0.01108,0.1042
216,Il1b,interleukin 1 beta,34,,,0.9565,0.09632,0.9992,-0.0816,0.6427,-0.344,0.006407,3.152,0.3993,0.9443,0.9991,0.5671,0.02604,-1.641,0.000004083,2.695,0.8905,0.2502,0.9442,-0.2287,0.8175,-0.2703,0.173,0.7936,0.03669,2.68,0.1513,2.655,0.7442,1.947,0.3853,2.525,0.9789,0.595,0.8729,0.3274,0.4963,0.5665,0.01988,3.941,0.9803,0.06059,0.00184,2.336,0.01324,1.044,0.685,0.3852,0.008998,-0.8378,0.8457,0.1868,0.4299,0.8564,0.7031,0.3063,0.7343,0.3911,1,0,0.7357,-0.101,0.5982,0.1198,0.5707,0.2473,0.9348,0.06791,0.9288,0.02737,0.7482,-0.0459,0.3836,-0.1727,0.8112,0.07598,0.00042,-0.5425,0.9773,-0.2537,0.4771,0.8516,0.8201,-0.05354,0.7501,0.03695
217,Il1r1,"interleukin 1 receptor, type I",25,Neurodegeneration-Related,,0.06411,1.062,0.6607,0.7284,0.03635,1.348,0.004156,3.383,0.4205,2.553,0.95,-0.8606,0.5788,-1.69,0.000004397,0.7315,0.6352,0.6122,0.0637,2.081,0.5196,0.4306,0.1326,0.8789,0.4617,1.125,0.472,0.8226,0.9641,1.3,0.3853,2.18,0.9992,-0.1894,0.8409,0.3223,3.06E-09,3.494,0.4973,1.088,0.5401,1.361,0.1403,1.359,0.01161,0.6508,0.2096,1.264,0.6681,-0.2255,0.9162,0.08364,0.6347,-0.225,0.2802,-0.4679,0.1537,0.4921,0.0006991,0.6964,0.6393,-0.1111,0.8429,0.0679,0.5966,0.2326,0.7859,-0.1384,0.9333,-0.02487,0.006277,0.8058,0.00498,1.04,0.2528,0.2375,0.05145,0.22,0.5594,1.325,0.6591,0.8481,0.3818,0.8922,0.04054,0.27
218,Il1rn,interleukin 1 receptor antagonist,10,LPS-Related,,0.1505,1.223,0.9992,-0.2733,0.5268,0.7165,0.01414,3.743,0.1616,2.805,0.9991,-0.07652,0.6657,-1.015,0.000449,0.8489,0.692,0.5256,0.1708,2.801,0.000006709,2.93,1.33E-09,2.605,0.05614,2.517,0.07781,4.082,0.7442,2.333,0.3853,4.404,0.7962,1.174,0.4283,3.744,1.39E-07,4.945,0.009814,4.456,0.7009,0.6031,0.0003187,5.664,0.6446,0.4441,0.1773,-1.527,0.00002004,-1.672,0.00002761,1.879,0.00001055,1.637,0.000009423,2.325,0.0001761,1.858,1,0,0.3041,0.2711,0.661,0.1182,0.5578,0.3009,0.6641,0.3013,0.5596,0.1234,0.3356,0.11,0.07688,0.4084,0.05346,0.4856,0.8864,0.01831,0.9771,-0.1349,0.498,-0.6614,0.4224,0.1912,0.483,-0.05116
219,Il2rg,"interleukin 2 receptor, gamma chain",42,,,0.03193,1.257,0.9992,-0.1638,0.3781,-0.9753,0.4367,0.9925,0.3332,2.322,0.9122,-1.66,0.8424,-0.3306,0.004161,0.5525,0.9271,0.167,0.812,0.6791,0.9429,-0.06042,0.0005144,1.182,0.04223,1.825,0.08827,1.963,0.8649,1.478,0.3861,1.982,0.9992,0.1425,0.4283,2.311,0.07425,1.917,0.009814,4.308,0.001784,2.871,0.0009859,4.495,0.5378,0.3565,0.4493,0.3706,0.00006945,0.8406,0.0006808,1.361,0.001066,1.425,0.003623,1.304,0.0001408,1.194,0.04984,0.7738,0.9362,0.02669,0.9565,0.01972,0.9513,-0.02772,0.9866,0.02178,0.1074,0.6911,0.0009717,1.648,0.0003511,1.397,0.0002508,0.6754,0.03263,0.194,,,,,0.01429,0.4822,0.7582,0.02071
220,Il3ra,"interleukin 3 receptor, alpha chain",11,,,0.1078,1.199,0.9738,0.4777,0.06976,1.178,0.5243,1.332,0.8882,0.3877,0.9991,-0.3441,0.3525,-1.288,0.000009556,2.111,1,0,0.02416,3.918,0.6904,-0.4658,0.9354,0.08621,0.07255,1.398,0.8423,0.358,0.8058,1.036,0.9885,0.06175,0.9992,0.2826,0.9909,0.03873,0.0004406,2.421,0.5313,1.252,0.7657,0.8838,0.0008805,2.524,0.01381,0.5385,0.1301,1.795,0.000000243,2.792,0.0003171,1.422,0.02276,0.5757,0.08346,0.5382,0.04642,0.6089,0.0004983,0.9032,0.2542,0.2837,0.5264,0.2336,0.98,0.01352,0.9959,-0.006055,0.5084,0.1754,0.3502,0.1467,0.00753,0.7905,0.1481,0.2551,0.0003917,0.3134,,,,,0.8996,-0.03845,0.8377,0.01722
221,Il7r,interleukin 7 receptor,3,,,0.4615,-0.3626,0.2873,-0.8221,0.08301,-0.8274,0.01414,-2.112,0.6235,-1.215,0.9991,0.08035,0.527,0.978,0.000002721,-0.6637,0.9674,-0.06261,0.003672,-3.786,0.2913,-0.4048,0.03366,-1.058,0.04135,-2.989,0.1463,-1.426,0.9729,-0.3872,0.4931,-1.372,0.9992,0.2162,0.9102,-0.3631,0.000002743,-2.238,0.126,-3.304,0.9835,0.05505,0.7725,-0.1705,0.1068,-0.8476,0.5932,-0.2096,0.001073,-0.5641,0.3757,-0.4971,0.2107,-0.4241,0.5217,-0.2557,0.2204,-0.4507,0.9993,0.0004466,0.4169,0.2241,0.5697,0.157,0.8994,-0.05126,0.8066,0.1479,0.9641,0.01265,0.5469,0.08193,0.07969,0.2815,0.0005659,0.8605,0.005019,0.2119,0.945,0.2848,0.4123,1.021,0.0871,0.2755,0.8766,-0.01399
222,Gimap1,"GTPase, IMAP family member 1",2,,,0.8955,-0.194,0.9992,-0.06214,0.8858,-0.1827,0.2016,-1.055,0.8408,-0.277,0.9991,-0.3606,0.7321,0.4177,0.00003083,-0.6408,1,0,1,0,0.06034,-1.526,0.00000455,-2.81,0.385,-0.6714,0.1044,-1.939,0.9555,0.4387,0.914,0.2118,0.9992,0.3789,0.5409,0.825,0.8655,0.2296,0.5816,-0.8735,0.9256,-0.1451,0.03215,-0.7655,0.2082,0.464,0.1499,-1.042,2.85E-08,-4.38,0.5618,-0.1983,0.4927,-0.1209,0.6865,0.1181,0.8927,-0.04235,0.9212,0.0545,0.6822,0.1218,0.5917,-0.1502,0.8158,0.07774,0.7667,0.195,0.6495,-0.0988,0.1753,-0.1967,0.8289,-0.04956,0.123,0.2203,0.002341,0.2471,0.9356,0.2963,0.1256,1.811,,,,
223,Irf4,interferon regulatory factor 4,4,,,0.6853,-0.3452,0.2477,-0.7202,0.03598,-1.259,0.01249,-1.74,0.7813,0.4383,0.9991,-0.3355,0.01479,1.843,0.000003954,-1.063,0.8579,0.2879,0.5781,-1.387,0.02744,-0.9746,0.0002938,-1.737,0.1798,-1.381,0.2898,-1.195,0.8339,0.9815,0.3853,3.234,0.7641,2.46,0.4283,3.973,0.01516,-1.817,0.1226,-2.168,0.05127,-2.548,0.02511,-0.8738,0.2135,-0.6088,0.1406,-1.729,0.00001107,-1.888,0.3843,-0.292,0.4711,-0.2759,0.62,-0.2375,0.3524,-0.4769,0.9774,-0.02097,0.7515,0.08314,0.5417,0.1468,0.8123,0.1073,0.8272,0.16,0.9943,0.002647,0.2771,-0.1679,0.4202,-0.1657,0.2268,-0.2821,0.1392,0.1126,0.9986,0.02174,0.9905,0.01746,0.09032,0.3232,0.7537,-0.02522
224,Irg1,immunoresponsive gene 1,10,LPS-Related,,1,0,1,0,1,0,0.05111,2.277,0.7047,0.8921,0.9991,-0.1282,0.3359,-1.513,0.01688,1.25,1,0,1,0,1,0,0.005662,2.04,0.1686,0.9356,0.1463,2.755,0.9993,0.1205,0.3853,2.074,0.9992,-0.3823,0.8888,0.6142,0.000000191,5.04,0.006107,7.032,0.9542,0.1756,0.000267,4.364,0.8065,-0.3161,0.9397,0.0803,0.09809,-0.6792,0.02935,1.982,0.1311,1.078,0.0003808,1.73,0.007493,1.187,1,0,0.8488,0.08541,0.4842,0.1534,0.7632,0.156,0.9481,0.06567,0.625,-0.103,0.1878,-0.2493,0.9987,-0.0004553,1,0,0.06871,0.1419,,,,,,,0.04226,-0.0946
225,Itga4,integrin alpha 4,12,LPS-Related,,0.4931,-0.7517,0.9992,-0.3193,0.2269,-0.9284,0.7849,1.383,0.5105,2.019,0.9967,-1.517,0.8271,-0.8802,0.7945,-0.09252,0.4627,0.7862,0.9595,-0.09811,0.5656,-0.4614,0.5193,0.3814,0.9912,0.06173,0.9987,-0.005771,0.8178,-2.755,0.9525,-0.1299,0.9992,0.1934,0.4437,-2.466,0.3546,0.6403,0.3525,2.029,0.335,2.194,0.0009859,4.085,0.1881,-0.6317,0.8006,0.3882,1.28E-09,3.18,0.06949,0.5607,0.01049,0.8434,0.9574,-0.03312,0.921,0.09888,0.5712,0.1569,0.5199,0.2404,0.8373,-0.1052,0.5129,0.3722,0.9642,-0.03861,0.4596,-0.2473,0.1681,-0.391,0.5519,-0.1172,0.6431,-0.07724,0.0843,-0.1576,,,,,0.8459,0.03085,0.2558,-0.04983
226,Itga5,integrin alpha 5 (fibronectin receptor alpha),10,LPS-Related,,0.7988,0.2086,0.967,0.2874,0.4254,0.3927,0.3936,2.441,0.6863,0.8489,0.9991,0.6954,0.5558,-0.8965,0.000009107,1.431,0.8951,0.2114,0.02015,1.829,0.7539,0.3507,0.128,0.9104,0.7984,0.7282,0.0288,2.07,0.9473,0.4599,0.3853,2.929,0.9936,0.609,0.4283,3.719,5.75E-11,2.366,0.1118,2.482,0.8959,-0.337,0.02756,1.835,0.7487,0.1474,0.1836,0.6484,0.000007561,1.166,0.4172,0.6822,0.4055,0.454,0.3351,0.6352,0.555,0.56,0.7464,0.1257,0.207,0.3266,0.9423,-0.02575,0.8396,0.09206,0.9869,-0.01411,0.04045,0.4349,0.002776,0.6337,0.004147,1.338,0.0003058,0.648,2.87E-07,0.3455,0.9681,-0.2911,0.7335,0.7501,0.1118,0.7599,0.384,0.05915
227,Itgal,integrin alpha L,44,"Neutrophil, Monocyte",,0.9775,-0.06723,0.9992,-0.0914,0.9577,-0.0735,0.006407,3.558,0.4415,2.131,0.9991,0.1554,0.5397,-1.271,0.3166,0.1569,0.9123,-0.1906,0.5845,1.604,1,0,0.3781,0.6428,0.4635,1.652,0.7355,1.314,0.8335,-1.835,0.476,1.156,0.8179,-2.78,0.8012,-0.7769,2.37E-12,3.742,0.0108,6.072,0.1812,2.658,0.002265,4.628,0.8615,-0.05515,0.8786,0.2393,5.72E-11,3.357,0.00415,1.215,0.001795,1.425,0.2725,0.67,0.1075,1.127,0.5209,0.2389,0.2754,0.3009,0.8165,0.0668,0.9744,-0.01553,0.8341,0.1536,0.2924,0.1948,0.6873,0.05284,0.7981,0.03994,0.003802,0.563,0.01806,0.1717,0.7093,1.13,0.355,1.707,0.3046,0.2005,0.1087,0.07451
228,Itgax,integrin alpha X,25,Neurodegeneration-Related,,5.62E-29,2.991,0.0001707,1.331,8.86E-07,1.604,0.001652,5.63,0.3073,2.115,0.9991,0.233,0.005209,-3.282,2.52E-08,2.914,0.002119,1.51,8.79E-08,5.277,0.01927,1.276,6.11E-20,3.525,0.002872,4.5,0.4023,1.638,0.8978,2.097,0.3853,3.657,0.7239,2.404,0.5425,0.9809,0.005145,-1.614,0.4569,2.001,0.9585,0.2007,0.008414,4.026,0.0273,1.059,0.07816,1.173,3.62E-08,1.607,0.00005147,2.571,0.0001273,1.824,0.00000202,2.165,0.00002328,2.05,3.14E-08,5.375,0.7499,0.1256,0.8915,0.05146,0.6991,0.1944,0.8623,0.1128,0.0009408,1.077,0.0003287,2.182,0.0004677,3.32,0.00002304,0.6948,0.05867,0.178,0.931,0.6014,0.2367,1.732,0.0562,0.4456,0.2254,-0.08065
229,Itgb7,integrin beta 7,42,,,0.2938,-0.8713,0.9081,-0.5765,0.8498,-0.207,0.835,0.6905,0.05162,2.189,0.9599,-1.014,0.7966,0.4841,0.8466,0.1296,1,0,0.7632,-0.8245,1,0,1,0,0.8435,-0.3132,0.9784,0.05711,0.9993,0.1355,0.7384,1.165,0.9985,0.781,0.9948,0.04525,0.7058,0.3777,0.7351,0.8481,0.4241,1.562,0.000411,4.42,0.5865,0.2976,0.02883,-3.615,0.00001652,-1.695,0.04338,0.6871,0.06012,0.7483,0.4176,0.3151,0.6627,0.3149,0.6194,0.2227,0.8903,-0.03755,0.7479,0.08547,0.9086,0.0539,0.7667,0.1797,0.9466,0.01706,0.4605,-0.1003,0.8885,-0.02577,0.4822,0.1081,0.9209,-0.008603,0.6076,0.9045,0.025,1.826,0.6353,0.1373,0.6683,-0.03275
230,Jag1,jagged 1,23,,,0.8005,0.4391,0.985,-0.5274,0.7071,-0.4504,0.9184,0.6189,0.9967,0.03887,0.9991,-1.035,0.5905,-1.615,0.0109,0.2037,1,0,0.9057,0.3891,0.718,-0.4046,0.2289,0.7584,0.7296,-0.7894,0.04649,4.662,0.9488,0.7036,0.6758,-2.069,0.7658,-1.363,0.8782,0.7206,0.003837,1.945,0.04707,3.054,0.8834,-0.4101,0.01428,3.29,0.9137,0.05912,0.2732,1.19,8.35E-07,3.908,0.3325,0.4594,0.8577,-0.09389,0.649,-0.1957,0.9319,0.06401,0.4391,0.1842,0.9727,0.02198,0.8073,-0.0675,0.783,-0.1218,0.9052,0.1244,0.8769,-0.05494,0.9989,-0.0002974,0.3276,-0.2232,0.08878,0.2321,0.9508,0.005206,0.948,0.3409,0.4804,0.7769,0.05591,0.8491,0.006207,0.3239
231,Kcna3,"potassium voltage-gated channel, shaker-related subfamily, member 3",10,LPS-Related,,0.5234,-0.6658,0.9646,-0.5056,0.7634,0.3577,0.006613,1.332,0.8692,0.1865,0.977,0.2969,0.1112,-0.8487,0.006782,0.3521,1,0,0.6355,1.346,0.7311,0.2773,0.03373,1.109,0.9234,-0.09816,0.1962,1.191,0.8809,0.8607,0.463,1.124,0.9992,0.1629,0.7991,0.3553,1.56E-08,3.54,0.02933,2.462,0.708,0.6004,0.00227,1.948,0.3053,0.3043,0.08119,2.216,0.000005595,3.674,0.01012,0.6145,0.2305,0.2437,0.447,0.2586,0.3968,0.1972,0.7431,0.1743,0.7316,-0.1181,0.8439,0.0642,0.8853,0.06335,0.8674,0.09461,0.568,0.09481,0.7207,-0.05781,0.1547,-0.2127,0.02488,-0.413,0.07401,0.1362,0.9986,-0.02072,0.8132,0.292,0.9308,-0.01835,0.3131,-0.04941
232,Kcnj10,"potassium inwardly-rectifying channel, subfamily J, member 10",41,,,0.9822,-0.02886,0.9992,-0.04516,0.5227,0.5408,0.9082,0.4085,0.04961,2.086,0.6656,-2.153,0.6186,-0.4752,0.1025,-0.1435,0.6459,0.498,0.9663,-0.08895,0.3398,0.5697,0.02213,1.179,0.04689,1.47,0.8279,0.2214,0.7487,1.277,0.6675,0.9863,0.9992,0.2589,0.914,-0.2414,0.928,0.07313,0.7206,0.5195,0.9798,0.07665,0.0025,-1.355,0.9928,-0.003604,0.2832,0.528,4.06E-08,2.574,0.1156,0.3738,0.08091,0.4594,0.3771,0.2088,0.3247,0.4198,0.2503,0.2627,0.4255,0.1857,0.8363,-0.05435,0.6023,-0.2118,0.9721,0.03384,0.2956,0.1968,0.3961,-0.1425,0.4339,-0.1204,0.01535,0.252,3.84E-12,0.5298,0.945,0.2363,0.2886,0.7999,0.4373,0.5083,0.0002984,0.401
233,Kcnj2,"potassium inwardly-rectifying channel, subfamily J, member 2",36,Neurodegeneration-Related,,1.71E-18,1.541,0.00002015,1.328,0.4732,0.4329,0.05546,1.78,0.2261,1.168,0.9991,-0.2004,0.3138,-0.8121,0.000003409,0.8478,0.01436,1.163,0.000001554,2.317,0.4261,0.2603,7.98E-09,1.717,0.05791,1.821,0.431,0.4977,0.9747,0.5958,0.6994,0.6285,0.7962,-1.122,0.7157,-0.7718,0.7739,-0.1122,0.7945,0.3861,0.3932,0.8069,0.02185,-1.043,0.3353,0.2102,0.999,-0.002596,0.001145,-1.26,0.7256,0.1087,0.1491,0.4332,0.4279,-0.227,0.8918,0.1503,0.1577,0.309,0.5626,-0.1495,0.6397,0.1083,0.607,0.2024,0.9916,-0.00858,0.7389,-0.07517,0.3985,-0.1443,0.3083,-0.2037,0.0001506,0.6432,0.0002101,0.3193,0.9794,0.1017,0.9921,0.01772,0.05401,0.8198,0.1085,0.1714
234,Napsa,napsin A aspartic peptidase,42,,,1,0,1,0,0.4419,-0.8776,0.8969,0.467,0.8467,-0.5641,0.9991,0.2632,0.7189,-0.7679,0.4879,-0.4182,1,0,1,0,1,0,1,0,0.6538,0.5695,0.7484,0.5299,0.9534,0.477,0.914,0.1853,0.7239,-2.152,0.4735,1.064,1,0,0.8715,0.4676,0.3251,1.746,0.001864,3.084,0.5764,-0.3933,0.02123,-3.822,0.0001912,-0.9857,0.01674,1.003,0.001691,1.108,0.3611,0.5702,0.249,0.6396,0.566,0.2756,0.9233,0.04088,0.7585,0.1003,0.5468,0.3541,0.7278,0.2003,0.5543,-0.1281,0.6279,-0.0777,0.3311,-0.1668,0.0078,0.4086,,,,,,,,,0.6772,-0.02254
235,Mdfic,MyoD family inhibitor domain containing,25,Neurodegeneration-Related,,0.218,0.8405,0.9992,0.3936,0.3792,0.7953,0.36,1.213,0.9981,0.01663,0.9991,0.09463,0.4082,-1.101,0.00001926,1.119,0.6844,-0.5615,0.1277,2.857,0.06751,1.308,0.00128,1.847,0.02333,2.254,0.1513,1.223,0.8178,1.615,0.389,1.595,0.8747,1.001,0.5366,0.8516,0.2963,1.105,0.06788,-1.91,0.6042,-0.8627,0.0003187,2.891,0.59,-0.1565,0.71,0.5634,1.50E-08,2.555,0.6218,0.1684,0.1193,0.5401,0.8502,-0.07689,0.1194,0.4252,0.01097,0.7192,0.6312,0.1262,0.9818,0.009314,0.2398,0.4976,0.8708,0.186,0.008326,0.8827,0.00003132,1.994,0.0002615,2.31,0.4544,0.1042,,,0.7107,1.092,0.1641,1.916,0.04619,0.8367,0.0002608,0.4166
236,Kif11,kinesin family member 11,26,Proliferation,,0.3585,0.8118,0.9992,-0.2897,0.9802,-0.04447,0.9417,0.4023,0.902,0.485,0.9991,0.3882,0.8696,0.4709,0.8827,-0.03372,1,0,0.7205,-1.207,0.3349,0.9175,0.1204,0.6191,0.1168,1.403,0.1436,2.102,0.7441,3.89,0.592,1.299,0.9992,0.1753,0.7455,0.5727,1,0,0.6711,-0.7945,0.000005475,5.712,0.002863,3.855,0.002816,-1.95,0.7699,-0.34,0.00000025,4.035,0.1928,0.4188,0.07894,0.4568,0.4011,0.2845,0.005012,0.7372,0.298,0.3685,0.9898,-0.006166,0.8028,0.06787,0.8588,0.06705,0.8758,0.09808,0.3239,-0.2141,0.1104,-0.2266,0.5076,-0.1339,0.01819,-0.2655,0.121,-0.1592,0.9334,0.4178,0.9299,-0.1995,0.9988,0.0002428,0.1738,-0.04162
237,Kif5a,kinesin family member 5A,29,,,0.2066,-0.9707,0.9992,0.1564,0.6048,0.366,0.002516,5.132,0.1159,2.475,0.9991,0.867,0.1207,-1.79,0.06991,-0.2422,0.8237,-0.3148,0.6168,-0.7491,0.0001718,2.617,0.04892,1.071,0.04181,3.722,0.9904,-0.03979,0.9993,0.1441,0.413,2.129,0.8082,-2.459,0.9874,0.05915,0.00001082,-1.57,0.9709,-0.1946,0.8349,-0.6648,0.007825,-3.409,0.305,0.3194,1,0,0.00004133,4.129,0.9706,-0.01408,0.7088,0.1723,0.2314,-0.269,0.5835,-0.2774,0.2814,-0.1812,0.8299,0.1472,0.3344,-0.2964,0.7525,-0.349,0.6422,-0.4493,0.568,0.3538,0.7152,-0.1191,0.4125,-0.4489,0.0005442,0.7159,0.000008466,0.3686,0.904,-0.5638,0.5967,-0.7905,0.5323,0.1786,1.91E-11,-0.8451
238,Kif9,kinesin family member 9,31,,,0.2126,-0.503,0.9992,0.06847,0.8052,0.1735,0.4151,-1.413,0.8714,-0.4856,0.8443,-1.373,0.8708,-0.4457,0.07499,0.1008,0.9978,0.004221,0.9034,0.2277,0.6737,-0.2789,0.00166,-1.308,0.5622,1.378,0.1217,-2.122,0.7441,2.979,0.4058,1.954,0.9745,-0.9547,0.4283,-2.244,0.3987,-0.9841,0.01014,-3.656,0.5066,-1.585,0.03438,1.747,0.2207,0.3298,0.5971,0.4202,0.08219,-0.6992,0.598,-0.3444,0.8872,-0.08153,0.252,-0.4682,0.9622,0.09057,0.5393,0.1328,0.6911,-0.1141,0.9372,-0.03041,0.7264,-0.1241,0.916,0.07081,0.7775,0.06033,0.5419,-0.07571,0.9938,-0.0013,0.00182,-0.2473,,,,,,,,,0.01445,0.2635
239,Fabp5,"fatty acid binding protein 5, epidermal",25,Neurodegeneration-Related,,0.01767,1.799,1,0,0.00456,2.222,,,,,,,,,2.09E-09,4,1,0,1,0,1,0,0.03934,1.798,,,0.07781,2.455,,,,,,,,,1,0,0.3937,1.729,0.6677,0.9229,,,0.07313,0.6818,0.5167,0.7257,0.4328,0.3609,0.00001405,3.311,0.000006289,2.386,0.000002467,2.606,0.0006784,1.561,0.9305,-0.01908,0.1507,0.41,0.6476,-0.1157,0.783,0.1092,0.9076,-0.09466,0.1698,0.3032,0.0006987,0.6472,0.08328,0.5053,0.78,-0.06096,0.0007892,-0.4026,,,,,0.5054,-0.4354,0.000257,0.8114
240,Klf12,Kruppel-like factor 12,7,,,0.7355,0.1506,0.9992,-0.04926,0.982,-0.01613,0.5443,-0.7678,0.2999,-1.338,0.9991,0.07894,0.7923,-0.4912,0.4311,-0.07609,0.9828,0.02996,0.9188,-0.09979,0.09059,-0.5703,0.00001212,-1.239,0.05686,-0.9885,0.3994,-0.7884,0.9323,-0.5156,0.3853,-1.829,0.9992,0.2004,0.6403,-0.855,0.00002145,-1.919,0.3428,-2.175,0.9241,0.1952,0.001753,-3.196,0.3405,0.2855,0.5111,-0.4849,1,0,0.9145,0.05241,0.9923,0.004511,0.8654,0.0577,0.9343,0.03223,0.7112,0.1688,0.8973,0.0766,0.3976,-0.2447,0.9225,-0.1004,0.7994,-0.2012,0.603,-0.111,0.3915,-0.1203,0.5112,-0.284,0.0584,0.1973,0.01752,-0.2172,0.9213,0.4996,0.712,0.643,0.2389,0.2142,0.0005106,0.326
241,Klf2,Kruppel-like factor 2 (lung),39,,,0.1299,-1.394,0.6995,-0.8411,0.2751,-1.135,0.01056,-1.622,0.2384,-0.9163,0.9991,0.1569,0.1668,0.8628,0.000007006,-1.668,1,0,1,0,0.4855,-0.3292,0.7103,-0.1169,0.5082,-0.6789,0.3101,-2.164,0.9854,-0.2311,0.5782,-0.7389,0.9992,0.1785,0.6664,-0.6506,0.9128,0.1661,0.7575,-0.4536,0.3181,1.932,0.04737,-1.836,0.6173,-0.2573,0.32,-0.7573,4.03E-09,-3.741,0.1699,-0.4957,0.9249,0.1212,0.4638,-0.3205,0.6816,-0.3284,0.9538,-0.0232,0.7389,-0.1027,0.7838,0.1127,0.9519,0.04016,0.3267,-0.4963,0.7457,-0.1161,0.4367,0.1686,0.6616,0.103,0.004094,0.5085,3.88E-08,0.5834,0.6032,0.9214,0.3602,0.8464,0.008854,1.301,0.00002829,0.4073
242,Klf3,Kruppel-like factor 3 (basic),3,,,0.8688,-0.08566,0.9155,-0.24,0.298,-0.388,0.9482,-0.3404,0.2902,-1.16,0.8561,1.756,0.3483,0.9371,0.00002856,-0.6228,0.8534,-0.1683,0.9896,-0.012,0.01247,-0.5913,0.01392,-0.6504,0.126,-0.6423,0.975,0.04729,0.8158,-0.9479,0.3853,-1.665,0.9992,0.03042,0.9044,-0.1884,0.0008418,-1.401,0.917,-0.1939,0.7714,-0.5291,0.7772,0.1189,0.4066,-0.25,0.3296,-0.39,3.93E-07,-1.341,0.3413,-0.3808,0.2915,-0.2515,0.4366,-0.1674,0.3868,-0.2717,0.557,0.115,0.87,-0.06032,0.2719,-0.4275,0.8751,-0.09966,0.9348,0.08148,0.03988,0.3709,0.002798,0.5443,0.07284,0.5984,0.000003763,0.4462,0.9723,-0.003434,0.9794,0.1104,0.4109,0.8334,0.5295,0.1183,0.8153,-0.02911
