Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
Dcaf4,0.027059,-0.936712,0.713751,0.544119
Dcaf5,0.071471,-0.420425,0.616728,0.492805
Dcaf7,0.091176,0.413819,0.353183,0.354849
Dcaf8,0.13,-1.04905,0.696364,0.536267
Dcakd,0.1,-0.077583,0.187108,0.281549
Dclre1b,0.028824,0.817165,0.678225,0.526534
Dcp2,0.056471,0.604552,0.187687,0.280902
Dcps,0.045294,-1.225371,1.071072,0.767574
Dctn2,0.202059,-0.520742,0.320727,0.34682
Dctn3,0.078235,-0.653465,0.078216,0.237838
Dctn4,0.120588,-0.285276,0.014488,0.213727
Dctn5,0.207941,-0.650611,1.213177,0.869857
Dcun1d2,0.037353,-3.349368,2.056549,1.477499
Dcun1d3,0.027941,-2.278462,0.169223,0.274804
Dcun1d5,0.125,-0.248305,0.112188,0.253357
Dcxr,0.066765,-0.336375,0.392685,0.374519
Dda1,0.073824,-0.891654,0.669314,0.522071
Ddb1,0.178824,-0.557984,0.568733,0.469955
Ddi2,0.133824,0.019048,0.415929,0.386276
Ddit3,0.080294,-0.402814,0.340414,0.35436
Ddost,0.277647,0.536159,2.332057,1.701855
Ddrgk1,0.174118,0.294934,2.144866,1.546417
Ddx1,0.086176,-1.040867,0.807708,0.596989
Ddx10,0.040588,-2.817131,0.98253,0.706978
Ddx17,0.425294,-0.907667,2.985639,2.256899
Ddx20,0.029706,-2.12581,0.696512,0.536258
Ddx21,0.197353,-0.81674,0.324151,0.348499
Ddx24,0.146176,0.288488,0.20609,0.291248
Ddx26b,0.221176,-0.52787,0.983431,0.707469
Ddx27,0.102647,-0.846937,0.085587,0.241277
Ddx28,0.026471,0.799541,0.363787,0.359894
Ddx31,0.043824,0.996498,2.832113,2.126058
Ddx39b,0.215294,-0.175943,0.027489,0.219732
Ddx3x,0.501176,-0.398922,0.715145,0.544709
Ddx3y,0.132647,-1.078131,0.343065,0.351927
Ddx42,0.126176,-0.429056,0.950132,0.681496
Ddx46,0.078235,-0.168038,0.031622,0.22057
Ddx47,0.116471,-0.617485,0.974043,0.700537
Ddx49,0.086765,-2.465718,1.532054,1.084696
Ddx5,1.448824,-0.697837,4.534529,3.622359
Ddx50,0.066176,-0.187403,0.018908,0.215459
Ddx55,0.039706,-1.386872,0.256847,0.316993
Ddx56,0.047353,-1.369672,0.638632,0.505944
Ddx58,0.072059,-0.519713,0.480357,0.424433
Ddx6,0.454412,-0.698034,1.652284,1.171709
Dedd,0.085588,-0.482549,1.058555,0.760273
Degs1,0.160882,0.37681,1.393499,0.989577
Dek,0.282059,0.055858,0.736079,0.556698
Dennd1b,0.115,-1.475282,0.366435,0.361115
Dennd2a,0.017059,0.331533,1.01509,0.73063
Dennd2c,0.064118,-0.208302,0.029945,0.220438
Dennd4a,0.172647,-0.35963,0.054951,0.230101
Dennd4b,0.065294,-0.470601,0.30048,0.336691
Dennd5a,0.195882,-0.352659,0.644575,0.508479
Denr,0.134706,0.069574,0.745048,0.559877
Deptor,0.046471,-0.205032,0.878776,0.63978
Dera,0.017353,-0.14379,0.347264,0.352382
Derl1,0.438529,0.069617,0.509641,0.438747
Derl2,0.170294,-0.790869,0.126249,0.25997
Dexi,0.065,-1.563623,0.616486,0.492708
Dgat1,0.036471,-3.800306,1.079226,0.771552
Dgcr2,0.087941,0.200417,0.220248,0.29983
Dgka,0.031176,-0.088603,0.009201,0.211931
Dgkd,0.298529,0.661682,0.749985,0.563146
Dgkq,0.017941,1.149152,1.564782,1.108189
Dgkz,0.067941,0.951757,1.806534,1.284961
Dguok,0.067353,0.058848,0.230014,0.304955
Dhcr7,0.026765,2.301447,3.300484,2.536594
Dhdh,0.029706,-0.399985,0.33901,0.354007
Dhfr,0.009118,0.047691,0.06892,0.235414
Dhrs3,0.505294,0.623637,3.40928,2.633228
Dhrs7,0.174118,0.222422,1.06171,0.761479
Dhrs7b,0.125588,0.268796,0.173957,0.275856
Dhx15,0.236176,-0.026131,0.094685,0.245793
Dhx16,0.044412,-0.406443,0.317178,0.345822
Dhx30,0.099118,-1.920786,1.232919,0.879414
Dhx32,0.024118,2.139746,2.609371,1.932689
Dhx36,0.070588,-1.074928,1.13404,0.81405
Dhx37,0.03,NaN,1.032198,0.743743
Dhx38,0.081176,-1.047744,1.157053,0.831807
Dhx40,0.022647,0.293096,0.132949,0.262818
Dhx8,0.085,-1.615043,0.581813,0.47449
Dhx9,0.125,0.255461,0.281999,0.3281
Diablo,0.070588,-0.615497,1.242964,0.887492
Diap2,0.150588,-0.73341,0.008704,0.21191
Dicer1,0.056176,-0.516648,0.257664,0.316956
Dido1,0.117059,-1.412345,1.639933,1.160671
Diexf,0.042941,-4.035934,1.362987,0.966984
Dip2b,0.322353,-0.860929,2.588225,1.917187
Dip2c,0.045294,NaN,2.484589,1.833476
Dirc2,0.105588,-0.316028,0.756513,0.567496
Dis3,0.028824,0.846609,0.157415,0.274853
Dis3l,0.033529,-0.193573,0.04489,0.225239
Dis3l2,0.016471,0.234061,0.223917,0.301867
Dkc1,0.102059,0.022527,0.643207,0.508003
Dld,0.074118,0.534162,2.602483,1.927347
Dleu2,0.051176,0.319756,0.044477,0.225042
Dlgap4,0.185294,-0.60306,0.135117,0.264017
Dmd,0.003235,NaN,0.341113,0.351889
Dmtf1,0.077647,-0.418016,0.555254,0.46271
Dmxl1,0.092647,-0.109694,0.203302,0.289353
Dnaja1,0.287647,-1.073823,1.572268,1.11318
Dnaja2,0.205588,-1.133371,1.122258,0.804985
Dnaja3,0.077941,-0.989068,0.815709,0.602332
Dnajb1,0.181765,-0.108584,0.359781,0.357531
Dnajb11,0.237059,-0.371463,0.15928,0.274973
Dnajb12,0.112647,0.47958,0.822996,0.606588
Dnajb14,0.150294,1.372001,9.086333,7.901495
Dnajb9,0.149706,-1.082744,2.044447,1.469911
Dnajc1,0.130588,0.146071,1.183183,0.849581
Dnajc10,0.137647,-0.231048,0.05018,0.227721
Dnajc13,0.175882,0.115755,0.344675,0.352791
Dnajc14,0.129706,-1.211206,0.7671,0.573182
Dnajc15,0.011471,2.054355,2.569965,1.902986
Dnajc16,0.066765,-0.502733,1.53874,1.088632
Dnajc18,0.036765,-0.089428,0.173641,0.27597
Dnajc19,0.085588,-0.213362,0.151942,0.272687
Dnajc2,0.146176,-1.037677,0.070397,0.235109
Dnajc28,0.074706,-1.764405,1.34965,0.96036
Dnajc3,0.325882,-0.273351,0.209858,0.293315
Dnajc5,0.27,0.286528,0.660093,0.517403
Dnajc7,0.269412,-1.112424,1.735384,1.234276
Dnajc8,0.211471,-0.424266,0.28566,0.3298
Dnajc9,0.054706,-1.662803,0.099861,0.247887
Dnase2a,0.300294,0.359757,1.444554,1.022628
Dnhd1,0.11,0.312974,0.597848,0.485062
Dnlz,0.061176,-0.759953,0.469214,0.417107
Dnm1l,0.079118,-0.525255,0.041481,0.223477
Dnm2,0.439706,-1.088259,2.353135,1.719673
Dnmt3a,0.140882,0.447717,0.363158,0.359595
Dnpep,0.044706,-0.583075,0.873646,0.638777
Dnttip1,0.086765,-1.032759,0.423609,0.390215
Dnttip2,0.116176,-0.262365,0.317942,0.345975
Dock1,0.051765,0.086776,0.319322,0.346335
Dock10,0.386176,-1.366818,3.788129,2.959706
Dock11,0.106765,-0.086901,0.100576,0.247828
Dock2,0.330294,-0.675471,0.9024,0.657522
Dock4,0.090588,-1.3263,2.331095,1.702283
Dock8,0.252353,-0.393235,0.211588,0.294327
Dock9,0.010882,-0.570136,0.286533,0.330378
Dok1,0.090882,0.052352,0.206211,0.29128
Dok6,0,NaN,NaN,NaN
Dolk,0.052059,-0.14379,0.169954,0.275023
Dopey1,0.062059,-1.801674,0.892314,0.650102
Dopey2,0.091176,0.031571,0.187863,0.28099
Dos,0.002941,-0.168038,0.165535,0.275273
Dot1l,0.018529,-0.016035,0.067152,0.235199
Dpagt1,0.108235,-0.501775,0.182348,0.279232
Dpcd,0.018824,2.171812,2.550587,1.886627
Dph2,0.020294,0.149702,0.160468,0.275328
Dph3,0.047647,-1.600997,0.644402,0.508455
Dph5,0.032059,-1.41266,0.163653,0.275917
Dpm1,0.155,-0.095955,0.154164,0.274249
Dpm2,0.066176,-0.538876,0.073782,0.236256
Dpm3,0.141471,0.207471,1.401427,0.99363
Dpp3,0.057059,-1.86106,2.008461,1.440407
Dpp7,0.038824,2.604552,12.897616,11.518855
Dpp9,0.071765,-0.265885,0.305581,0.339587
Dpy19l1,0.193824,0.350471,0.678141,0.526604
Dpy19l3,0.017059,-1.325579,0.166572,0.275212
Dpy19l4,0.227941,0.073113,0.175215,0.27565
Dpy30,0.072941,-0.099866,0.095381,0.246105
Dpysl2,0.391471,-0.315112,0.011824,0.212914
Dr1,0.145,-0.904028,0.060113,0.233079
Dram2,0.270294,-1.172755,2.606564,1.930914
Drap1,0.138824,0.354461,1.021089,0.735372
Drg1,0.070882,-0.058559,0.041901,0.223683
Dst,0.432059,-1.0127,1.701269,1.207679
Dstn,0.069412,0.621744,0.330918,0.351447
Dstyk,0.032941,-1.168038,0.782374,0.582985
Dtd1,0.024706,0.60957,0.851221,0.624491
Dtnbp1,0.097647,0.661494,1.967157,1.409827
Dtwd1,0.019706,-3.649165,0.93602,0.676569
Dtx2,0.045882,-2.283515,0.182786,0.279408
Dtx3l,0.177941,-0.801499,1.532485,1.084517
Dtx4,0.384706,-0.376526,0.286942,0.330591
Dtymk,0.022353,0.198744,0.46698,0.41573
Dusp11,0.151765,-0.091802,0.082761,0.240346
Dusp12,0.010882,1.266365,0.426573,0.392356
Dusp16,0.028235,0.436824,0.232767,0.306884
Dusp22,0.043529,-0.622604,0.13431,0.263695
Dusp3,0.109412,1.587424,5.687567,4.693544
Dusp6,0.787353,-1.397092,6.536861,5.485611
Dvl2,0.020588,-0.209858,0.007514,0.211469
Dym,0.076765,-0.162521,0.104104,0.249104
Dync1h1,0.276765,-0.871163,0.763693,0.571302
Dync1i2,0.352353,-0.120654,0.26712,0.321069
Dync1li1,0.108824,-0.175857,0.092697,0.244802
Dync1li2,0.063529,0.007812,0.323901,0.348352
Dynll1,0.172353,-0.153341,0.143001,0.268738
Dynll2,0.176471,-1.083974,0.570149,0.470277
Dynlrb1,0.140294,-0.135146,0.375249,0.365614
Dynlt3,0.111765,0.29553,0.33205,0.351748
Dyrk1a,0.200588,-0.90924,2.294479,1.669809
Dzip3,0.027353,0.831962,0.346961,0.352294
E130102H24Rik,0.014118,-1.293569,0.033458,0.220926
E130208F15Rik,0,NaN,NaN,NaN
E230001N04Rik,0.043235,-3.560355,2.197835,1.592431
E2f2,0.022941,-1.54655,0.290334,0.33142
E2f3,0.081471,-3.194317,2.552662,1.887698
E2f4,0.072353,-0.215735,0.884451,0.643755
E2f6,0.024412,0.100779,0.512517,0.440854
E330016A19Rik,0.125294,-1.302835,1.220872,0.874908
E430018J23Rik,0.007353,0.436033,0.161567,0.275674
E430025E21Rik,0.060294,0.518804,0.027901,0.219864
Eaf1,0.082059,-0.072991,0.382703,0.369272
Eapp,0.072353,-0.901099,0.878885,0.639701
Ears2,0.015588,NaN,1.032199,0.742474
Ebag9,0.020882,1.35464,0.688663,0.532166
Ebf3,0.071176,-1.660636,0.963289,0.691616
Ebi3,0.112647,-0.289807,0.681636,0.528245
Ebna1bp2,0.068529,-0.417514,0.178519,0.277052
Ebp,0.211471,-0.591797,0.0168,0.214525
Ebpl,0.039412,1.0138,2.118204,1.527873
Ece1,0.03,-0.982482,0.165074,0.275993
Ech1,0.1,-0.890928,1.034604,0.743606
Echdc1,0.026471,-0.489966,0.217637,0.298123
Echs1,0.090588,1.777064,10.036246,8.790794
Eci2,0.082353,0.086383,1.656903,1.175341
Ecscr,0.458824,-4.251806,15.761106,14.242413
Edc3,0.052941,-0.753,0.263541,0.320169
Edem1,0.367647,-0.138338,0.113184,0.253802
Edem2,0.267941,0.349383,1.61807,1.144992
Edem3,0.057059,-0.244389,0.029755,0.220318
Edf1,0.21,0.37455,1.077264,0.770913
Eea1,0.074706,-0.079907,0.048698,0.227321
Eed,0.150588,-0.73341,0.944594,0.679976
Eef1a1,0.319412,0.609791,4.689214,3.761678
Eef1b2,0.428824,1.361106,13.756288,12.336653
Eef1d,0.180588,0.482757,2.447834,1.802524
Eef1g,0.210294,0.235859,1.578229,1.1182
Eef2,0.663824,0.761221,5.014172,4.057133
Eef2k,0.217059,-2.447587,5.093998,4.133002
Efha1,0.046765,-0.598278,0.023394,0.218143
Efhd2,1.100588,0.144142,0.439099,0.399437
Efnb1,0.074118,-1.859916,1.984975,1.424099
Efr3a,0.097941,0.700511,3.359247,2.588998
Egf,0,NaN,NaN,NaN
Egln1,0.071176,0.654566,1.300227,0.927662
Egln2,0.068529,-0.657185,0.013221,0.213284
Egr1,0.031176,1.755093,0.958378,0.688125
Egr2,0.000588,5.291394,2.658905,1.973354
Ehbp1l1,0.109412,-1.824554,1.318189,0.939947
Ehd4,0.414412,-0.366399,0.359198,0.357821
Ehmt1,0.069412,-0.765279,0.484578,0.426796
Ehmt2,0.080588,-0.046901,0.237319,0.309599
Ei24,0.089412,-0.256094,0.336326,0.353733
Eid1,0.103529,0.320898,0.214579,0.296238
Eid2b,0.063824,-1.537272,0.657651,0.515866
Eif1,0.429412,-0.156229,0.006763,0.21099
Eif1a,0.075882,0.000644,0.174787,0.27574
Eif1ad,0.051471,-1.665053,0.966435,0.693745
Eif1ax,0.052353,1.339222,1.755683,1.249025
Eif1b,0.177059,-1.116255,1.215806,0.871527
Eif2a,0.096471,0.399223,2.139385,1.542228
Eif2ak1,0.144706,-1.495843,1.627517,1.151195
Eif2ak2,0.076765,0.032875,0.174778,0.275817
Eif2ak3,0.088235,-0.615497,0.068349,0.235435
Eif2b1,0.059118,-0.731627,0.117292,0.256176
Eif2b2,0.032059,-0.005485,0.058265,0.232106
Eif2b4,0.061176,-0.140557,0.38289,0.369235
Eif2c1,0.213235,-0.470203,0.900585,0.656279
Eif2c3,0.027941,0.528893,0.815457,0.602436
Eif2c4,0.018824,1.58685,0.365923,0.361042
Eif2s1,0.08,0.571048,0.5971,0.484737
Eif2s2,0.250588,-0.379186,0.527651,0.449659
Eif2s3y,0.095882,0.402097,0.060491,0.233092
Eif3a,0.232353,0.048604,1.07879,0.771557
Eif3b,0.109412,0.892716,2.929401,2.207592
Eif3c,0.437647,-0.195444,0.450415,0.405601
Eif3d,0.175294,-0.299744,0.386296,0.371068
Eif3e,0.133529,0.753606,2.004448,1.437598
Eif3f,0.312647,0.620387,4.589574,3.671143
Eif3g,0.120588,-0.161017,0.099565,0.247746
Eif3h,0.259412,0.384949,1.433106,1.014613
Eif3i,0.135588,0.31873,1.542713,1.091377
Eif3j,0.118824,-0.196893,0.298743,0.335555
Eif3k,0.154706,0.418752,1.701401,1.207472
Eif3l,0.145588,-0.280119,0.499624,0.43306
Eif3m,0.093235,0.448436,0.946998,0.679371
Eif4a1,0.330882,0.053805,0.753266,0.565255
Eif4a3,0.152353,-0.145927,1.290404,0.92116
Eif4b,0.154706,0.500402,1.708237,1.211588
Eif4e,0.095882,-0.858555,0.390823,0.373563
Eif4e2,0.175,-0.892931,0.033843,0.220816
Eif4e3,0.062941,-0.80098,0.022838,0.217865
Eif4ebp1,0.032353,1.485231,1.520822,1.078309
Eif4ebp3,0.026176,0.238872,0.288572,0.33104
Eif4enif1,0.017353,0.271247,0.220833,0.300053
Eif4g1,0.159118,-0.547083,1.316673,0.93921
Eif4g2,0.714118,-0.647062,1.42589,1.010521
Eif4g3,0.302353,-0.964209,0.669883,0.522182
Eif4h,0.356765,0.11116,0.573462,0.471809
Eif5,0.244706,0.047402,0.038975,0.222755
Eif5a,0.162647,0.818859,2.940333,2.216802
Eif5b,0.181471,0.078535,0.033013,0.220904
Eif6,0.093235,-0.136527,0.034036,0.220797
Elac1,0.033235,0.596746,0.282303,0.328208
Elf1,0.245,-0.382371,0.16746,0.275082
Elf2,0.187353,-0.53482,0.156858,0.274545
Elf4,0.158529,-0.758364,0.1374,0.265087
Elk3,0.278235,0.201294,1.271836,0.908655
Elk4,0.122059,-0.19967,0.328937,0.350812
Ell2,0.012941,2.903912,2.258918,1.641967
Elmo1,0.541471,-1.463565,6.615799,5.559628
Elmo2,0.090588,-0.991881,0.166291,0.275184
Elmod2,0.041471,0.447298,0.165725,0.27521
Elovl1,0.250588,-0.631284,0.377062,0.366871
Elovl5,0.064118,0.223649,2.100801,1.514683
Elp2,0.065882,-0.785568,1.200345,0.861081
Elp3,0.063529,-0.530608,0.017203,0.214859
Elp4,0.026765,-2.353904,1.210501,0.868617
Emg1,0.078529,-0.206366,0.47513,0.421057
Eml3,0.067647,-0.155547,0.44933,0.405239
Eml4,0.172941,-0.077691,0.424608,0.390862
Emp3,0.097647,0.178022,0.466367,0.41524
Emr1,0.461471,-0.194953,0.22267,0.301255
Enc1,0.146765,-0.437447,0.071825,0.235718
Endod1,0.172647,-0.020959,0.82425,0.607663
Endog,0.004706,0.738853,0.568704,0.470199
Eng,0.293824,-1.503022,3.174496,2.427324
Engase,0.062647,-1.069857,0.53738,0.454284
Eno3,0.045,-1.840463,1.199544,0.860754
Enpp1,0.008235,2.978803,3.690197,2.876887
Enpp2,0.029412,2.382863,3.197461,2.445402
Entpd1,0.942059,-1.189364,8.945812,7.770846
Entpd5,0.031765,-0.835463,0.1564,0.27475
Entpd7,0.045882,-0.570797,0.116295,0.255574
Eny2,0.050588,-0.219263,0.057573,0.231632
Ep300,0.378235,-1.156863,2.786542,2.088154
Ep400,0.114118,-0.46417,0.025014,0.218512
Epb4.1,0.102647,-0.139388,0.178611,0.277057
Epb4.1l2,1.554118,-1.035607,11.479278,10.174465
Epb4.1l3,0.042353,-1.694107,0.26469,0.320745
Epc1,0.101471,-1.013528,2.094211,1.509348
Epc2,0.114118,-0.779266,1.719781,1.221764
Epm2a,0.002941,2.264922,0.941832,0.678611
Epn1,0.205588,-0.803405,0.704204,0.541901
Epn2,0.089412,-2.058413,2.617788,1.939554
Eprs,0.142059,0.60957,1.403934,0.994745
Eps15,0.099118,0.615266,1.166539,0.838526
Eps8,0.069706,-1.630516,2.079469,1.497107
Epsti1,0.033824,-0.398818,0.345152,0.352093
Ept1,0.035588,-2.279546,0.268073,0.321541
Eral1,0.031176,-0.281249,0.191468,0.282396
Erap1,0.132353,-0.555554,0.022061,0.217365
Erbb2ip,0.204706,-1.20159,0.866266,0.63456
Erc1,0,NaN,0.73654,0.554853
Ercc4,0.024412,-0.116813,0.071397,0.235439
Ergic1,0.089706,-0.144579,0.369301,0.362547
Ergic2,0.111471,-0.505273,0.099038,0.247528
Ergic3,0.345,0.557816,4.907508,3.962128
Erich1,0.031765,-0.308216,0.248523,0.315711
Erlec1,0.229706,-0.122581,0.835478,0.61403
Erlin1,0.075882,-0.437798,0.073997,0.236321
Erlin2,0.112353,-0.850649,0.156368,0.274801
Ern1,0.039412,-1.234127,0.350029,0.353856
Ero1lb,0.007059,3.269367,5.488799,4.51057
Erp29,0.735882,0.104384,0.855793,0.627962
Erp44,0.117941,-0.053945,0.598581,0.485089
Esco1,0.082941,-0.60715,0.485496,0.42734
Esd,0.093824,0.486093,0.936483,0.67644
Espl1,0.022941,-1.365977,0.488752,0.428729
Esr1,0.01,-0.34861,0.094588,0.245773
Etaa1,0.039412,-1.376146,0.485138,0.427108
Etf1,0.200294,-0.230821,0.099242,0.247655
Etfa,0.063529,-0.835463,0.575984,0.471712
Etfb,0.095294,-0.204107,0.051651,0.228252
Ethe1,0.018824,-0.123644,0.073698,0.236396
Etl4,0.004412,3.625511,5.27286,4.301809
Etnk1,0.263824,-1.011218,1.423809,1.009005
Ets1,0.322647,-2.409405,6.143341,5.122788
Etv3,0.137059,-1.290757,2.413318,1.773261
Etv5,0.254118,-1.713472,4.191996,3.318872
Etv6,0.109118,-0.179751,0.183688,0.279962
Evi2a,0.691176,0.097041,0.381447,0.368577
Evi2b,0.080882,-0.317129,0.42758,0.392893
Evi5,0.099118,-0.316715,0.461097,0.411922
Evl,0.469706,-0.585185,0.801754,0.592797
Ewsr1,0.157353,-0.909505,1.401454,0.993379
Exd2,0.043824,-0.554316,0.084994,0.241064
Exoc1,0.068529,-0.765437,0.068699,0.235637
Exoc3,0.112059,-1.456283,1.222523,0.875352
Exoc4,0.121765,-0.566904,0.38055,0.368575
Exoc5,0.106765,-0.349936,0.396165,0.376295
Exoc6,0.054412,-0.114457,0.008788,0.211858
Exoc7,0.052353,-0.135977,0.232946,0.306879
Exoc8,0.145294,-1.472549,0.993763,0.71533
Exosc10,0.12,-0.189412,0.083057,0.240264
Exosc8,0.139118,-1.805807,0.932139,0.67466
Ext1,0.030294,0.211551,0.252952,0.316586
Extl3,0.307059,-0.280065,0.158584,0.275026
Eya4,0.014412,-0.39043,0.336811,0.353695
Ezh2,0.018235,-1.662803,0.169923,0.275163
F11r,1.262941,-0.874201,7.633498,6.510587
F13a1,0.034706,-2.591249,0.38324,0.369361
F8a,0.018824,-0.038755,0.163569,0.276001
Fabp7,0,NaN,1.226838,0.876998
Fads1,0.155588,-0.630199,0.420429,0.388793
Faf1,0.081176,-1.168038,2.322381,1.694493
Faf2,0.081765,0.912693,1.184041,0.849969
Faim,0.069706,-1.102585,0.352643,0.354634
Fam100a,0.197059,-0.7487,0.334645,0.352782
Fam102b,0.982353,-0.688795,1.441674,1.020322
Fam103a1,0.051471,-0.918809,0.178503,0.277123
Fam105a,0.907059,-1.725202,10.31482,9.051799
Fam105b,0.097059,0.625511,0.004333,0.210389
Fam107b,0.100588,-2.228338,2.12617,1.531586
Fam108a,0.127647,-1.046946,0.105964,0.250186
Fam108c,0.214118,-0.300793,0.047185,0.226672
Fam110a,0.185,-3.42056,3.894157,3.053102
Fam111a,0.194706,-0.383907,0.515775,0.442828
Fam114a2,0.142647,-0.574179,0.909465,0.662671
Fam116a,0.152941,-1.190406,0.712721,0.543731
Fam117b,0.188235,-0.484341,0.120262,0.257169
Fam120a,0.113529,0.305594,1.121398,0.804576
Fam120b,0.070588,-1.827001,0.528133,0.449881
Fam122a,0.035588,0.783464,0.08413,0.240731
Fam122b,0.013824,0.135354,0.10514,0.249751
Fam125a,0.043235,0.31879,0.858047,0.628929
Fam125b,0.198235,-1.445702,1.809297,1.285913
Fam126b,0.050294,-0.778535,0.592638,0.4814
Fam129a,0.1,1.14367,1.630682,1.153056
Fam133b,0.108235,-1.884245,0.426206,0.392107
Fam134a,0.152941,-0.455696,0.0293,0.220214
Fam134b,0.537647,0.097887,0.329382,0.350843
Fam134c,0.071176,-1.801499,0.352965,0.35474
Fam13a,0.002353,0.639317,0.250565,0.315886
Fam151b,0.010882,-2.055563,0.784569,0.584664
Fam158a,0.040882,-0.614554,0.094732,0.245763
Fam160b1,0.135,-1.425426,0.629835,0.500382
Fam160b2,0.064412,-2.942825,0.769002,0.574404
Fam161b,0.013824,-2.722627,0.165535,0.275358
Fam165b,0.076765,-0.119128,0.04565,0.225783
Fam167b,0.091471,-0.056491,0.168542,0.274634
Fam168a,0.224118,-0.960325,0.931812,0.674529
Fam168b,0.188529,-0.065954,0.117804,0.256136
Fam172a,0.062353,-0.989068,0.002816,0.209684
Fam173a,0.145,-0.74716,0.205174,0.290601
Fam174a,0.115,0.794584,1.84847,1.317768
Fam175b,0.168529,-0.429562,0.754226,0.565712
Fam176a,0.045588,-2.356699,1.218389,0.873148
Fam176b,0.036176,-0.52559,0.0853,0.241142
Fam178a,0.147059,0.123566,0.213169,0.295279
Fam179b,0.075882,-2.424378,0.632225,0.501745
Fam181b,0.002059,NaN,0.537648,0.453366
Fam188a,0.036765,-0.741505,0.090164,0.243875
Fam18b,0.109118,-0.845332,0.5824,0.47438
Fam192a,0.103235,-1.356579,0.381197,0.368662
Fam193a,0.070882,0.027597,0.164867,0.276123
Fam193b,0.072647,-1.44398,0.35709,0.356802
Fam195b,0.125588,-0.098775,0.122783,0.258339
Fam199x,0.041471,-2.722627,1.199855,0.860828
Fam203a,0.019118,1.184634,0.174305,0.275774
Fam20c,0.006765,5.700718,21.584578,19.802644
Fam26f,0.063529,-3.016035,1.343264,0.956099
Fam32a,0.120588,-0.388086,0.326641,0.349755
Fam35a,0.029118,-0.797395,0.156678,0.274697
Fam36a,0.103529,0.179885,0.738849,0.555507
Fam3a,0.119118,0.268216,0.599489,0.48515
Fam3c,0.122647,0.440941,0.881033,0.641471
Fam45a,0.062647,0.074532,0.311363,0.343354
Fam46a,0.466176,-1.978126,5.740669,4.744496
Fam46c,0.306471,1.218334,8.373475,7.228363
Fam48a,0.157647,-0.485934,0.407417,0.382971
Fam49a,0.046176,-1.555768,0.564213,0.468156
Fam49b,0.799412,-0.846747,4.29183,3.407189
Fam50a,0.093235,0.489407,0.197884,0.286336
Fam53a,0.045882,0.260805,0.14297,0.268789
Fam53b,0.131176,-2.062047,2.245523,1.630816
Fam53c,0.060294,-0.638065,0.031953,0.220479
Fam54b,0.128824,-1.122646,0.655475,0.514594
Fam58b,0.102647,-0.538306,0.187449,0.281453
Fam63b,0.264706,-0.243727,0.440169,0.400269
Fam72a,0.080588,-1.359179,0.888689,0.647046
Fam73a,0.053529,0.473915,0.093298,0.244867
Fam76a,0.075294,0.696148,0.30677,0.340071
Fam76b,0.128824,-0.965545,0.672723,0.523338
Fam84b,0.026471,-3.074928,0.785685,0.58509
Fam86,0.050588,0.428065,1.18112,0.847985
Fam96a,0.087059,0.098242,0.340518,0.354043
Fam96b,0.073824,0.336152,0.664423,0.519311
Fam98c,0.018529,1.212234,0.071735,0.235702
Fancc,0.027647,0.184264,0.074206,0.236231
Fance,0.058824,0.142302,0.237104,0.309476
Fancg,0.022059,-2.226932,0.293388,0.331794
Fancl,0.013824,-0.552702,0.144476,0.269399
Fank1,0,NaN,NaN,NaN
Far1,0.128824,-1.228579,1.210848,0.868725
Fars2,0.035588,-1.443045,0.375718,0.365861
Farsb,0.089412,-0.438685,0.097611,0.246796
Fastkd2,0.004706,1.22428,0.927855,0.673316
Fat3,0.027941,0.637146,0.720598,0.547093
Fau,0.259412,1.243315,12.23178,10.892753
Fbrs,0.114706,-0.444451,0.281877,0.328173
Fbrsl1,0.379412,-1.473287,3.849868,3.014058
Fbxl14,0.134412,-0.56946,0.534926,0.453669
Fbxl17,0.063824,-1.681662,0.883071,0.642943
Fbxl20,0.139706,-1.048594,0.66289,0.518688
Fbxl3,0.212647,-0.154137,0.40024,0.378432
Fbxl4,0.051176,-0.856094,0.11135,0.252755
Fbxl5,0.098235,-0.229814,0.251495,0.316254
Fbxl6,0.07,-0.834037,0.641882,0.507271
Fbxo11,0.134706,-0.703461,0.509277,0.438767
Fbxo22,0.068824,0.070122,0.626509,0.498518
Fbxo25,0.042941,-0.898431,0.929234,0.673913
Fbxo28,0.087647,-0.802244,0.832516,0.611973
Fbxo32,0.049706,-3.246989,1.073317,0.768723
Fbxo33,0.106471,-0.241619,0.751185,0.563844
Fbxo34,0.056176,-2.353149,0.586595,0.477038
Fbxo9,0.049706,-0.591637,0.164588,0.276012
Fbxw11,0.170294,-0.078671,0.022651,0.217816
Fbxw4,0.216765,-0.123703,0.027959,0.219643
Fbxw7,0.082353,-1.489966,1.5922,1.12649
Fbxw8,0.047353,0.876085,0.905839,0.660387
Fcer1g,1.703824,0.691891,7.222499,6.113782
Fcgr1,1.097353,-0.97404,4.976835,4.023717
Fcgr2b,0.36,0.14443,1.800117,1.279626
Fcgr3,2.418235,0.191917,0.444047,0.401637
Fcgr4,0.021765,1.997548,4.154828,3.286547
Fcgrt,0.178235,-0.669745,1.433084,1.014876
Fcho2,0.226765,-1.093289,1.281758,0.914798
Fchsd2,0.327647,-1.797718,4.469631,3.566253
